sLongitude, sLatitude
9.379358, 54.015560
9.379502, 54.015446
9.379648, 54.015335
9.379795, 54.015221
9.379945, 54.015106
9.380100, 54.014988
9.380262, 54.014870
9.380427, 54.014748
9.380593, 54.014622
9.380759, 54.014496
9.380924, 54.014370
9.381087, 54.014244
9.381248, 54.014118
9.381413, 54.013992
9.381580, 54.013866
9.381747, 54.013741
9.381915, 54.013615
9.382084, 54.013489
9.382254, 54.013359
9.382423, 54.013233
9.382591, 54.013103
9.382758, 54.012978
9.382924, 54.012852
9.383088, 54.012730
9.383249, 54.012611
9.383404, 54.012489
9.383538, 54.012363
9.383649, 54.012238
9.383728, 54.012100
9.383768, 54.011959
9.383767, 54.011814
9.383725, 54.011669
9.383648, 54.011520
9.383546, 54.011372
9.383430, 54.011211
9.383309, 54.011047
9.383183, 54.010872
9.383057, 54.010693
9.382928, 54.010509
9.382797, 54.010326
9.382676, 54.010136
9.382574, 54.009941
9.382501, 54.009739
9.382455, 54.009533
9.382423, 54.009315
9.382398, 54.009090
9.382373, 54.008862
9.382348, 54.008629
9.382324, 54.008396
9.382297, 54.008160
9.382268, 54.007923
9.382238, 54.007687
9.382212, 54.007454
9.382183, 54.007217
9.382154, 54.006981
9.382126, 54.006741
9.382098, 54.006504
9.382070, 54.006271
9.382035, 54.006039
9.381991, 54.005810
9.381928, 54.005581
9.381846, 54.005356
9.381755, 54.005142
9.381660, 54.004936
9.381571, 54.004742
9.381487, 54.004562
9.381407, 54.004398
9.381334, 54.004242
9.381267, 54.004101
9.381204, 54.003971
9.381146, 54.003845
9.381090, 54.003719
9.381036, 54.003597
9.380980, 54.003475
9.380922, 54.003353
9.380862, 54.003231
9.380804, 54.003109
9.380747, 54.002991
9.380689, 54.002869
9.380631, 54.002747
9.380575, 54.002628
9.380521, 54.002510
9.380466, 54.002388
9.380410, 54.002270
9.380354, 54.002151
9.380298, 54.002037
9.380244, 54.001919
9.380194, 54.001797
9.380144, 54.001678
9.380089, 54.001564
9.380034, 54.001446
9.379989, 54.001328
9.379951, 54.001209
9.379923, 54.001091
9.379902, 54.000977
9.379882, 54.000858
9.379864, 54.000744
9.379848, 54.000633
9.379835, 54.000534
9.379823, 54.000450
9.379811, 54.000381
9.379802, 54.000320
9.379794, 54.000271
9.379787, 54.000229
9.379782, 54.000191
9.379777, 54.000156
9.379772, 54.000130
9.379767, 54.000099
9.379764, 54.000076
9.379761, 54.000050
9.379762, 54.000027
9.379771, 53.999992
9.379783, 53.999954
9.379786, 53.999912
9.379778, 53.999863
9.379762, 53.999805
9.379745, 53.999741
9.379731, 53.999668
9.379719, 53.999588
9.379706, 53.999500
9.379693, 53.999409
9.379678, 53.999310
9.379665, 53.999210
9.379652, 53.999104
9.379637, 53.998997
9.379624, 53.998886
9.379613, 53.998775
9.379601, 53.998665
9.379586, 53.998558
9.379573, 53.998451
9.379560, 53.998356
9.379546, 53.998268
9.379535, 53.998188
9.379525, 53.998123
9.379517, 53.998066
9.379510, 53.998024
9.379507, 53.997997
9.379508, 53.997978
9.379517, 53.997963
9.379543, 53.997944
9.379597, 53.997921
9.379681, 53.997902
9.379790, 53.997883
9.379922, 53.997868
9.380067, 53.997837
9.380223, 53.997795
9.380381, 53.997742
9.380534, 53.997677
9.380679, 53.997597
9.380819, 53.997505
9.380959, 53.997398
9.381100, 53.997284
9.381240, 53.997166
9.381377, 53.997047
9.381517, 53.996929
9.381659, 53.996811
9.381802, 53.996693
9.381948, 53.996574
9.382096, 53.996456
9.382239, 53.996338
9.382382, 53.996220
9.382524, 53.996101
9.382664, 53.995979
9.382805, 53.995861
9.382946, 53.995739
9.383088, 53.995617
9.383232, 53.995499
9.383376, 53.995377
9.383520, 53.995255
9.383663, 53.995129
9.383806, 53.995007
9.383950, 53.994884
9.384091, 53.994762
9.384233, 53.994640
9.384375, 53.994522
9.384513, 53.994408
9.384648, 53.994289
9.384786, 53.994175
9.384925, 53.994061
9.385064, 53.993946
9.385201, 53.993835
9.385338, 53.993721
9.385472, 53.993610
9.385606, 53.993500
9.385735, 53.993389
9.385857, 53.993279
9.385970, 53.993176
9.386081, 53.993073
9.386175, 53.992970
9.386252, 53.992863
9.386319, 53.992752
9.386379, 53.992638
9.386425, 53.992523
9.386459, 53.992401
9.386481, 53.992279
9.386492, 53.992153
9.386495, 53.992027
9.386494, 53.991898
9.386495, 53.991772
9.386495, 53.991642
9.386496, 53.991512
9.386497, 53.991383
9.386499, 53.991253
9.386502, 53.991119
9.386509, 53.990986
9.386511, 53.990852
9.386512, 53.990723
9.386514, 53.990589
9.386518, 53.990459
9.386521, 53.990326
9.386526, 53.990196
9.386529, 53.990070
9.386532, 53.989941
9.386534, 53.989815
9.386535, 53.989689
9.386535, 53.989563
9.386535, 53.989437
9.386535, 53.989311
9.386536, 53.989182
9.386538, 53.989059
9.386539, 53.988934
9.386542, 53.988811
9.386548, 53.988689
9.386553, 53.988571
9.386561, 53.988449
9.386581, 53.988335
9.386613, 53.988216
9.386657, 53.988106
9.386711, 53.987999
9.386776, 53.987892
9.386842, 53.987785
9.386909, 53.987682
9.386982, 53.987579
9.387057, 53.987480
9.387134, 53.987381
9.387207, 53.987286
9.387278, 53.987186
9.387348, 53.987087
9.387425, 53.986980
9.387507, 53.986870
9.387594, 53.986752
9.387682, 53.986629
9.387774, 53.986500
9.387868, 53.986366
9.387968, 53.986225
9.388076, 53.986076
9.388192, 53.985920
9.388315, 53.985752
9.388443, 53.985584
9.388570, 53.985416
9.388692, 53.985252
9.388811, 53.985096
9.388927, 53.984936
9.389043, 53.984772
9.389159, 53.984608
9.389278, 53.984447
9.389400, 53.984283
9.389524, 53.984123
9.389647, 53.983963
9.389771, 53.983803
9.389892, 53.983643
9.390013, 53.983482
9.390134, 53.983322
9.390255, 53.983162
9.390373, 53.983002
9.390491, 53.982841
9.390611, 53.982681
9.390729, 53.982521
9.390847, 53.982365
9.390966, 53.982204
9.391086, 53.982044
9.391205, 53.981880
9.391324, 53.981716
9.391446, 53.981552
9.391568, 53.981384
9.391691, 53.981224
9.391812, 53.981064
9.391931, 53.980904
9.392049, 53.980743
9.392171, 53.980587
9.392295, 53.980427
9.392420, 53.980267
9.392544, 53.980106
9.392668, 53.979946
9.392792, 53.979786
9.392918, 53.979630
9.393043, 53.979469
9.393167, 53.979309
9.393293, 53.979145
9.393420, 53.978989
9.393554, 53.978825
9.393682, 53.978664
9.393810, 53.978504
9.393938, 53.978344
9.394065, 53.978184
9.394189, 53.978024
9.394314, 53.977867
9.394443, 53.977707
9.394569, 53.977547
9.394695, 53.977386
9.394819, 53.977226
9.394944, 53.977066
9.395069, 53.976906
9.395193, 53.976746
9.395318, 53.976585
9.395444, 53.976421
9.395569, 53.976261
9.395693, 53.976101
9.395817, 53.975937
9.395941, 53.975777
9.396066, 53.975616
9.396193, 53.975456
9.396319, 53.975292
9.396446, 53.975132
9.396570, 53.974972
9.396692, 53.974812
9.396816, 53.974651
9.396941, 53.974487
9.397066, 53.974323
9.397195, 53.974159
9.397325, 53.973999
9.397451, 53.973835
9.397577, 53.973675
9.397701, 53.973511
9.397826, 53.973351
9.397951, 53.973186
9.398079, 53.973022
9.398208, 53.972858
9.398339, 53.972691
9.398467, 53.972530
9.398593, 53.972366
9.398717, 53.972202
9.398840, 53.972042
9.398962, 53.971882
9.399079, 53.971729
9.399191, 53.971581
9.399297, 53.971439
9.399400, 53.971306
9.399504, 53.971169
9.399607, 53.971035
9.399710, 53.970901
9.399813, 53.970768
9.399916, 53.970634
9.400021, 53.970501
9.400123, 53.970371
9.400222, 53.970242
9.400318, 53.970112
9.400414, 53.969986
9.400507, 53.969860
9.400602, 53.969738
9.400700, 53.969612
9.400796, 53.969482
9.400890, 53.969357
9.400984, 53.969231
9.401076, 53.969105
9.401164, 53.968979
9.401249, 53.968853
9.401333, 53.968727
9.401416, 53.968605
9.401501, 53.968479
9.401586, 53.968357
9.401672, 53.968231
9.401760, 53.968109
9.401848, 53.967987
9.401936, 53.967865
9.402021, 53.967743
9.402102, 53.967621
9.402184, 53.967503
9.402267, 53.967381
9.402350, 53.967258
9.402435, 53.967136
